"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,0.669)","2.68","15",0.7296,0.827,0.92,0.92
"2","(0,0.595)","2.23","10",0.741,0.8384,0.9164,0.9163
"3","(0,0.576)","2.13"," 9",0.7464,0.8431,0.9174,0.9172
"4","(0,0.554)","2.01"," 8",0.7519,0.8485,0.9144,0.9142
"5","(0,0.53)","1.89"," 7",0.7566,0.8533,0.9149,0.9145
"6","(0,0.503)","1.76"," 6",0.7619,0.8593,0.9135,0.9131
"7","(0,0.471)","1.62"," 5",0.7746,0.8699,0.914,0.9134
"8","(0,0.433)","1.46"," 4",0.7844,0.8808,0.914,0.913
"9","(0,0.24)","0.74"," 1",0.8558,0.9398,0.9198,0.9116
