"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.764,1)","3.03","15",0.5561,0.0609,0.48,0.4738
"2","(0.859,1)","2.52","10",0.5369,0.0467,0.4393,0.4255
"3","(0.886,1)","2.40"," 9",0.5289,0.042,0.4301,0.4136
"4","(0.917,1)","2.28"," 8",0.5201,0.0386,0.4178,0.3985
"5","(0.955,1)","2.14"," 7",0.5156,0.0357,0.4094,0.3856
"6","(1,1)","2.00"," 6",0.51,0.0312,0.4022,0.3718
"7","(1.056,1)","1.84"," 5",0.4957,0.0276,0.3881,0.3495
"8","(1.128,1)","1.67"," 4",0.4857,0.0246,0.3808,0.3293
"9","(1.615,1)","0.95"," 1",0.4287,0.0106,0.3862,0.2438
